Master Record Number,Date,Weekend?,Hour,Collision Type,Injury Type,Primary Factor,Reported_Location,Latitude,Longitude,Location,Number of Bars
902503597,2015-08-05,Weekday,600,3+ Cars,Incapacitating,LEFT OF CENTER,SR46W & W FLATWOOD,39.25254059,-86.67625151,"39.25254059,-86.67625151",0
902503645,2015-08-04,Weekday,1300,2-Car,No injury/unknown,UNSAFE BACKING,N MORTON & W 7TH,39.168672,-86.536,"39.168672,-86.536",42
902503662,2015-08-05,Weekday,1100,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SR37 & SR45W,39.148144,-86.572992,"39.148144,-86.572992",1
902503663,2015-08-05,Weekday,1100,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,3RD & WESTPLEX,39.16440971,-86.55389986,"39.16440971,-86.55389986",10
902503681,2015-08-05,Weekday,1200,2-Car,No injury/unknown,UNSAFE BACKING,N UNION,39.172144,-86.509392,"39.172144,-86.509392",5
902503751,2015-08-05,Weekday,1200,2-Car,No injury/unknown,FOLLOWING TOO CLOSELY,E 3RD & SR46S,39.16424,-86.473296,"39.16424,-86.473296",1
902503894,2015-08-05,Weekday,1500,2-Car,No injury/unknown,FAILURE TO YIELD RIGHT OF WAY,S WALNUT,39.142555,-86.531238,"39.142555,-86.531238",2
902503974,2015-08-05,Weekday,1500,2-Car,Non-incapacitating,LEFT OF CENTER,FEE & N JORDAN,39.18384,-86.5192,"39.18384,-86.5192",1
902505079,2015-08-01,Weekend,1100,2-Car,No injury/unknown,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,SR46W & UNION VALLEY,39.215152,-86.5928,"39.215152,-86.5928",0
902505094,2015-08-01,Weekend,1300,2-Car,No injury/unknown,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,E 3RD,39.16464,-86.56913891,"39.16464,-86.56913891",6
902505111,2015-08-07,Weekend,1500,3+ Cars,Incapacitating,IMPROPER TURNING,SAMPLE & SR37N,39.26670898,-86.52277632,"39.26670898,-86.52277632",0
902505316,2015-08-01,Weekend,1700,Cyclist,Incapacitating,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,3RD & ROSE,39.164352,-86.510944,"39.164352,-86.510944",9
902505339,2015-08-01,Weekend,1800,2-Car,Incapacitating,FOLLOWING TOO CLOSELY,SR4546W & WALNUT,39.186368,-86.5344,"39.186368,-86.5344",3
